Peer,vendor,KPI,value
BI-focused Products,Longview Pl. (On-Pr.),Business value,7.738708413
BI-focused Products,Prophix,Business value,8.01770024
BI-focused Products,SAP Analytics Cloud,Business value,6.480445138
BI-focused Products,Unit4 FP&A,Business value,7.045974234
BI-focused Products,Peer Group Average,Business value,6.6882779
BI-focused Products,Board,Price-to-value,3.901751161
BI-focused Products,Cubeware,Price-to-value,7.217845395
BI-focused Products,cubus,Price-to-value,8.488113038
BI-focused Products,evidanza,Price-to-value,6.882027512
BI-focused Products,IBM Plan. Analytics,Price-to-value,4.198008041
BI-focused Products,IDL,Price-to-value,7.488872327
BI-focused Products,Infor d/EPM,Price-to-value,5.567957536
BI-focused Products,Jedox,Price-to-value,6.244360902
BI-focused Products,Longview Pl. (On-Pr.),Price-to-value,7.037160773
BI-focused Products,Prophix,Price-to-value,7.496797091
BI-focused Products,SAP Analytics Cloud,Price-to-value,5.958881579
BI-focused Products,Unit4 FP&A,Price-to-value,6.444004187
BI-focused Products,Peer Group Average,Price-to-value,6.410481629
BI-focused Products,Board,Recommendation,6.553677092
BI-focused Products,Cubeware,Recommendation,2.460202329
BI-focused Products,cubus,Recommendation,9.230231307
BI-focused Products,evidanza,Recommendation,7.53577192
BI-focused Products,IBM Plan. Analytics,Recommendation,5.415399596
BI-focused Products,IDL,Recommendation,8.644588662
BI-focused Products,Infor d/EPM,Recommendation,3.662721893
BI-focused Products,Jedox,Recommendation,7.466610313
BI-focused Products,Longview Pl. (On-Pr.),Recommendation,7.323964497
BI-focused Products,Prophix,Recommendation,9.268452196
BI-focused Products,SAP Analytics Cloud,Recommendation,7.098492079
BI-focused Products,Unit4 FP&A,Recommendation,5.115115654
BI-focused Products,Peer Group Average,Recommendation,6.647935628
BI-focused Products,Board,Vendor support,5.929056065
BI-focused Products,Cubeware,Vendor support,5.244647746
BI-focused Products,cubus,Vendor support,10
BI-focused Products,evidanza,Vendor support,6.699613682
BI-focused Products,IBM Plan. Analytics,Vendor support,2.205277623
BI-focused Products,IDL,Vendor support,7.679561957
BI-focused Products,Infor d/EPM,Vendor support,2.071751839
BI-focused Products,Jedox,Vendor support,5.216569456
BI-focused Products,Longview Pl. (On-Pr.),Vendor support,5.917168079
BI-focused Products,Prophix,Vendor support,8.237202338
BI-focused Products,SAP Analytics Cloud,Vendor support,6.690679681
BI-focused Products,Unit4 FP&A,Vendor support,5.582863512
BI-focused Products,Peer Group Average,Vendor support,5.956199332
BI-focused Products,Board,Implementer support,6.349567809
BI-focused Products,Cubeware,Implementer support,1.890515222
BI-focused Products,cubus,Implementer support,10
BI-focused Products,evidanza,Implementer support,6.320143443
BI-focused Products,IBM Plan. Analytics,Implementer support,4.87442623
BI-focused Products,IDL,Implementer support,7.87375
BI-focused Products,Infor d/EPM,Implementer support,5.659076006
BI-focused Products,Jedox,Implementer support,6.114172876
BI-focused Products,Longview Pl. (On-Pr.),Implementer support,7.434007914
BI-focused Products,Prophix,Implementer support,7.235161719
BI-focused Products,SAP Analytics Cloud,Implementer support,6.186360656
BI-focused Products,Unit4 FP&A,Implementer support,6.622929667
BI-focused Products,Peer Group Average,Implementer support,6.380009295
BI-focused Products,Board,Product satisfaction,7.655164428
BI-focused Products,Cubeware,Product satisfaction,3.16454377
BI-focused Products,cubus,Product satisfaction,9.83586151
BI-focused Products,evidanza,Product satisfaction,5.227272727
BI-focused Products,IBM Plan. Analytics,Product satisfaction,6.064369932
BI-focused Products,IDL,Product satisfaction,9.496641964
BI-focused Products,Infor d/EPM,Product satisfaction,4.323543886
BI-focused Products,Jedox,Product satisfaction,6.547508767
BI-focused Products,Longview Pl. (On-Pr.),Product satisfaction,7.927751563
BI-focused Products,Prophix,Product satisfaction,9.032446796
BI-focused Products,SAP Analytics Cloud,Product satisfaction,6.279527559
BI-focused Products,Unit4 FP&A,Product satisfaction,7.214619563
BI-focused Products,Peer Group Average,Product satisfaction,6.897437705
BI-focused Products,Board,Customer satisfaction,6.140139834
BI-focused Products,Cubeware,Customer satisfaction,3.69218554
BI-focused Products,cubus,Customer satisfaction,9.528220251
BI-focused Products,evidanza,Customer satisfaction,6.598797828
BI-focused Products,IBM Plan. Analytics,Customer satisfaction,4.650399056
BI-focused Products,IDL,Customer satisfaction,8.240430707
BI-focused Products,Infor d/EPM,Customer satisfaction,4.324325018
BI-focused Products,Jedox,Customer satisfaction,6.396602318
BI-focused Products,Longview Pl. (On-Pr.),Customer satisfaction,7.169839839
BI-focused Products,Prophix,Customer satisfaction,8.253644516
BI-focused Products,SAP Analytics Cloud,Customer satisfaction,6.47606132
BI-focused Products,Unit4 FP&A,Customer satisfaction,6.141425874
BI-focused Products,Peer Group Average,Customer satisfaction,6.467672675
BI-focused Products,Board,Predefined data connectivity,5.263848397
BI-focused Products,Cubeware,Predefined data connectivity,9.703752469
BI-focused Products,cubus,Predefined data connectivity,4.635899814
BI-focused Products,evidanza,Predefined data connectivity,8.163265306
BI-focused Products,IBM Plan. Analytics,Predefined data connectivity,5.103954082
BI-focused Products,IDL,Predefined data connectivity,7.230548469
BI-focused Products,Infor d/EPM,Predefined data connectivity,4.992028061
BI-focused Products,Jedox,Predefined data connectivity,5.848604748
BI-focused Products,Longview Pl. (On-Pr.),Predefined data connectivity,8.909438776
BI-focused Products,Prophix,Predefined data connectivity,6.684362934
BI-focused Products,SAP Analytics Cloud,Predefined data connectivity,9.703752469
BI-focused Products,Unit4 FP&A,Predefined data connectivity,7.042911006
BI-focused Products,Peer Group Average,Predefined data connectivity,6.940197211
BI-focused Products,Board,Data integration,3.891877353
BI-focused Products,Cubeware,Data integration,6.964497041
BI-focused Products,cubus,Data integration,6.200750469
BI-focused Products,evidanza,Data integration,8.59992365
BI-focused Products,IBM Plan. Analytics,Data integration,4.517523896
BI-focused Products,IDL,Data integration,7.406311637
BI-focused Products,Infor d/EPM,Data integration,4.270853216
BI-focused Products,Jedox,Data integration,7.958579882
BI-focused Products,Longview Pl. (On-Pr.),Data integration,9.080931475
BI-focused Products,Prophix,Data integration,6.077882616
BI-focused Products,SAP Analytics Cloud,Data integration,5.224852071
BI-focused Products,Unit4 FP&A,Data integration,5.224852071
BI-focused Products,Peer Group Average,Data integration,6.284902948
BI-focused Products,Board,Planning content,1.951569897
BI-focused Products,Cubeware,Planning content,1.326658323
BI-focused Products,cubus,Planning content,6.941098248
BI-focused Products,evidanza,Planning content,6.301915856
BI-focused Products,IBM Plan. Analytics,Planning content,1.448463121
BI-focused Products,IDL,Planning content,8.225682103
BI-focused Products,Infor d/EPM,Planning content,1
BI-focused Products,Jedox,Planning content,4.321026283
BI-focused Products,Longview Pl. (On-Pr.),Planning content,4.451216194
BI-focused Products,Prophix,Planning content,9.147242877
BI-focused Products,SAP Analytics Cloud,Planning content,7.407528642
BI-focused Products,Unit4 FP&A,Planning content,6.802074021
BI-focused Products,Peer Group Average,Planning content,4.943706297
BI-focused Products,Board,Planning functionality,6.939787485
BI-focused Products,Cubeware,Planning functionality,3.884897482
BI-focused Products,cubus,Planning functionality,10
BI-focused Products,evidanza,Planning functionality,4.718652379
BI-focused Products,IBM Plan. Analytics,Planning functionality,7.590925821
BI-focused Products,IDL,Planning functionality,7.565028273
BI-focused Products,Infor d/EPM,Planning functionality,3.503969117
BI-focused Products,Jedox,Planning functionality,7.723056165
BI-focused Products,Longview Pl. (On-Pr.),Planning functionality,5.794805596
BI-focused Products,Prophix,Planning functionality,7.555929135
BI-focused Products,SAP Analytics Cloud,Planning functionality,4.491574177
BI-focused Products,Unit4 FP&A,Planning functionality,9.003519317
BI-focused Products,Peer Group Average,Planning functionality,6.564345412
BI-focused Products,Board,Workflow,5.597212544
BI-focused Products,Cubeware,Workflow,2.769268293
BI-focused Products,cubus,Workflow,6.443902439
BI-focused Products,evidanza,Workflow,6.241999464
BI-focused Products,IBM Plan. Analytics,Workflow,3.894156297
BI-focused Products,IDL,Workflow,7.655320289
BI-focused Products,Infor d/EPM,Workflow,2.809648888
BI-focused Products,Jedox,Workflow,3.819163763
BI-focused Products,Longview Pl. (On-Pr.),Workflow,6.023944251
BI-focused Products,Prophix,Workflow,7.493797909
BI-focused Products,SAP Analytics Cloud,Workflow,4.581184669
BI-focused Products,Unit4 FP&A,Workflow,6.055052265
BI-focused Products,Peer Group Average,Workflow,5.282054256
BI-focused Products,Board,Forecasting,6.540663335
BI-focused Products,Cubeware,Forecasting,3.103072983
BI-focused Products,cubus,Forecasting,8.138621201
BI-focused Products,evidanza,Forecasting,6.658953722
BI-focused Products,IBM Plan. Analytics,Forecasting,6.463380282
BI-focused Products,IDL,Forecasting,6.423889491
BI-focused Products,Infor d/EPM,Forecasting,2.124488869
BI-focused Products,Jedox,Forecasting,5.635604324
BI-focused Products,Longview Pl. (On-Pr.),Forecasting,4.752112676
BI-focused Products,Prophix,Forecasting,7.251600512
BI-focused Products,SAP Analytics Cloud,Forecasting,7.501942691
BI-focused Products,Unit4 FP&A,Forecasting,5.808634415
BI-focused Products,Peer Group Average,Forecasting,5.866913708
BI-focused Products,Board,Simulation,7.882352941
BI-focused Products,Cubeware,Simulation,1.882352941
BI-focused Products,cubus,Simulation,7.390374332
BI-focused Products,evidanza,Simulation,7.483375959
BI-focused Products,IBM Plan. Analytics,Simulation,6.865051903
BI-focused Products,IDL,Simulation,6.904977376
BI-focused Products,Infor d/EPM,Simulation,3.142857143
BI-focused Products,Jedox,Simulation,5.159663866
BI-focused Products,Longview Pl. (On-Pr.),Simulation,4.721227621
BI-focused Products,Prophix,Simulation,7.176470588
BI-focused Products,SAP Analytics Cloud,Simulation,9.006535948
BI-focused Products,Unit4 FP&A,Simulation,6.840336134
BI-focused Products,Peer Group Average,Simulation,6.204631396
BI-focused Products,Board,Driver-based planning,5.989420229
BI-focused Products,Cubeware,Driver-based planning,1.508735868
BI-focused Products,cubus,Driver-based planning,4.755395683
BI-focused Products,evidanza,Driver-based planning,4.006166495
BI-focused Products,IBM Plan. Analytics,Driver-based planning,5.289568345
BI-focused Products,IDL,Driver-based planning,1
BI-focused Products,Infor d/EPM,Driver-based planning,3.814056447
BI-focused Products,Jedox,Driver-based planning,6.71679242
BI-focused Products,Longview Pl. (On-Pr.),Driver-based planning,7.669064748
BI-focused Products,Prophix,Driver-based planning,6.238718116
BI-focused Products,SAP Analytics Cloud,Driver-based planning,7.086330935
BI-focused Products,Unit4 FP&A,Driver-based planning,3.772032374
BI-focused Products,Peer Group Average,Driver-based planning,4.820523472
BI-focused Products,Board,Reporting/analysis,6.925253893
BI-focused Products,Cubeware,Reporting/analysis,9.257819905
BI-focused Products,cubus,Reporting/analysis,9.913699989
BI-focused Products,evidanza,Reporting/analysis,9.212839293
BI-focused Products,IBM Plan. Analytics,Reporting/analysis,6.289099526
BI-focused Products,IDL,Reporting/analysis,8.848341232
BI-focused Products,Infor d/EPM,Reporting/analysis,7.246751261
BI-focused Products,Jedox,Reporting/analysis,8.106683432
BI-focused Products,Longview Pl. (On-Pr.),Reporting/analysis,10
BI-focused Products,Prophix,Reporting/analysis,8.833716994
BI-focused Products,SAP Analytics Cloud,Reporting/analysis,8.683228864
BI-focused Products,Unit4 FP&A,Reporting/analysis,8.376481043
BI-focused Products,Peer Group Average,Reporting/analysis,8.474492953
BI-focused Products,Board,Legal consolidation,3.170418006
BI-focused Products,IBM Plan. Analytics,Legal consolidation,3.26085209
BI-focused Products,IDL,Legal consolidation,9.459065051
BI-focused Products,Infor d/EPM,Legal consolidation,1.872422924
BI-focused Products,Jedox,Legal consolidation,3.15469034
BI-focused Products,Prophix,Legal consolidation,4.25562701
BI-focused Products,Peer Group Average,Legal consolidation,4.19551257
BI-focused Products,Board,Functionality,5.415240408
BI-focused Products,Cubeware,Functionality,4.489006145
BI-focused Products,cubus,Functionality,7.157749131
BI-focused Products,evidanza,Functionality,6.820788014
BI-focused Products,IBM Plan. Analytics,Functionality,5.072297536
BI-focused Products,IDL,Functionality,7.071916392
BI-focused Products,Infor d/EPM,Functionality,3.477707593
BI-focused Products,Jedox,Functionality,5.844386522
BI-focused Products,Longview Pl. (On-Pr.),Functionality,6.822526815
BI-focused Products,Prophix,Functionality,7.071534869
BI-focused Products,SAP Analytics Cloud,Functionality,7.076325607
BI-focused Products,Unit4 FP&A,Functionality,6.547321405
BI-focused Products,Peer Group Average,Functionality,6.07223337
BI-focused Products,Board,Self-service,5.877759305
BI-focused Products,Cubeware,Self-service,3.38121998
BI-focused Products,cubus,Self-service,10
BI-focused Products,evidanza,Self-service,5.675904316
BI-focused Products,IBM Plan. Analytics,Self-service,6.173471794
BI-focused Products,IDL,Self-service,3.228147896
BI-focused Products,Infor d/EPM,Self-service,6.18427907
BI-focused Products,Jedox,Self-service,7.867390606
BI-focused Products,Longview Pl. (On-Pr.),Self-service,6.115045737
BI-focused Products,Prophix,Self-service,6.182063974
BI-focused Products,SAP Analytics Cloud,Self-service,7.471742816
BI-focused Products,Unit4 FP&A,Self-service,6.986037591
BI-focused Products,Peer Group Average,Self-service,6.261921924
BI-focused Products,Board,Flexibility,6.755524862
BI-focused Products,Cubeware,Flexibility,6.499688113
BI-focused Products,cubus,Flexibility,9.885296334
BI-focused Products,evidanza,Flexibility,6.610691661
BI-focused Products,IBM Plan. Analytics,Flexibility,6.845649171
BI-focused Products,IDL,Flexibility,6.766790401
BI-focused Products,Infor d/EPM,Flexibility,8.738259669
BI-focused Products,Jedox,Flexibility,8.352012628
BI-focused Products,Longview Pl. (On-Pr.),Flexibility,9.079981008
BI-focused Products,Prophix,Flexibility,7.364743542
BI-focused Products,SAP Analytics Cloud,Flexibility,3.650597042
BI-focused Products,Unit4 FP&A,Flexibility,9.694123556
BI-focused Products,Peer Group Average,Flexibility,7.520279832
BI-focused Products,Board,Ease of use,7.734775852
BI-focused Products,Cubeware,Ease of use,5.50376569
BI-focused Products,cubus,Ease of use,9.687639741
BI-focused Products,evidanza,Ease of use,5.37111621
BI-focused Products,IBM Plan. Analytics,Ease of use,4.898727024
BI-focused Products,IDL,Ease of use,6.935539105
BI-focused Products,Infor d/EPM,Ease of use,4.672520418
BI-focused Products,Jedox,Ease of use,7.392451541
BI-focused Products,Longview Pl. (On-Pr.),Ease of use,7.369832299
BI-focused Products,Prophix,Ease of use,6.835695198
BI-focused Products,SAP Analytics Cloud,Ease of use,8.402083952
BI-focused Products,Unit4 FP&A,Ease of use,7.811416091
BI-focused Products,Peer Group Average,Ease of use,6.88463026
BI-focused Products,Board,Sales experience,3.328108273
BI-focused Products,Cubeware,Sales experience,3.642519881
BI-focused Products,cubus,Sales experience,9.131927187
BI-focused Products,evidanza,Sales experience,5.465841316
BI-focused Products,IBM Plan. Analytics,Sales experience,2.345389203
BI-focused Products,IDL,Sales experience,6.158300199
BI-focused Products,Infor d/EPM,Sales experience,1.400957889
BI-focused Products,Jedox,Sales experience,5.052683897
BI-focused Products,Longview Pl. (On-Pr.),Sales experience,3.81361829
BI-focused Products,Prophix,Sales experience,7.539761431
BI-focused Products,SAP Analytics Cloud,Sales experience,6.153081511
BI-focused Products,Unit4 FP&A,Sales experience,5.135798115
BI-focused Products,Peer Group Average,Sales experience,4.930665599
BI-focused Products,Board,Performance satisfaction,7.190691875
BI-focused Products,Cubeware,Performance satisfaction,4.321611237
BI-focused Products,cubus,Performance satisfaction,7.606080654
BI-focused Products,evidanza,Performance satisfaction,9.327778333
BI-focused Products,IBM Plan. Analytics,Performance satisfaction,7.110995191
BI-focused Products,IDL,Performance satisfaction,6.563080486
BI-focused Products,Infor d/EPM,Performance satisfaction,3.972938243
BI-focused Products,Jedox,Performance satisfaction,3.183087174
BI-focused Products,Longview Pl. (On-Pr.),Performance satisfaction,4.623794499
BI-focused Products,Prophix,Performance satisfaction,5.008486565
BI-focused Products,SAP Analytics Cloud,Performance satisfaction,3.961690727
BI-focused Products,Unit4 FP&A,Performance satisfaction,1.31136697
BI-focused Products,Peer Group Average,Performance satisfaction,5.348466829
BI-focused Products,Board,Customer experience,6.630537525
BI-focused Products,Cubeware,Customer experience,5.005322157
BI-focused Products,cubus,Customer experience,9.369354247
BI-focused Products,evidanza,Customer experience,6.492602748
BI-focused Products,IBM Plan. Analytics,Customer experience,5.831586523
BI-focused Products,IDL,Customer experience,6.077067771
BI-focused Products,Infor d/EPM,Customer experience,5.631612071
BI-focused Products,Jedox,Customer experience,6.762457451
BI-focused Products,Longview Pl. (On-Pr.),Customer experience,6.785521698
BI-focused Products,Prophix,Customer experience,6.592925339
BI-focused Products,SAP Analytics Cloud,Customer experience,5.925271962
BI-focused Products,Unit4 FP&A,Customer experience,6.749747834
BI-focused Products,Peer Group Average,Customer experience,6.487833944
BI-focused Products,Board,Considered for purchase,7.413173653
BI-focused Products,Cubeware,Considered for purchase,4.502994012
BI-focused Products,cubus,Considered for purchase,2.131736527
BI-focused Products,evidanza,Considered for purchase,1.538922156
BI-focused Products,IBM Plan. Analytics,Considered for purchase,10
BI-focused Products,IDL,Considered for purchase,1.97005988
BI-focused Products,Infor d/EPM,Considered for purchase,2.616766467
BI-focused Products,Jedox,Considered for purchase,7.520958084
BI-focused Products,Longview Pl. (On-Pr.),Considered for purchase,2.401197605
BI-focused Products,Prophix,Considered for purchase,2.185628743
BI-focused Products,SAP Analytics Cloud,Considered for purchase,6.550898204
BI-focused Products,Unit4 FP&A,Considered for purchase,3.532934132
BI-focused Products,Peer Group Average,Considered for purchase,4.363772455
BI-focused Products,Board,Competitive win rate,1
BI-focused Products,Cubeware,Competitive win rate,2.44323257
BI-focused Products,cubus,Competitive win rate,9.234648875
BI-focused Products,evidanza,Competitive win rate,9.059754184
BI-focused Products,IBM Plan. Analytics,Competitive win rate,4.876679146
BI-focused Products,IDL,Competitive win rate,8.877640576
BI-focused Products,Infor d/EPM,Competitive win rate,6.009737543
BI-focused Products,Jedox,Competitive win rate,2.760814169
BI-focused Products,Longview Pl. (On-Pr.),Competitive win rate,5.893891213
BI-focused Products,Prophix,Competitive win rate,5.790568811
BI-focused Products,SAP Analytics Cloud,Competitive win rate,2.920502092
BI-focused Products,Unit4 FP&A,Competitive win rate,2.603509648
BI-focused Products,Peer Group Average,Competitive win rate,5.122581569
BI-focused Products,Board,Competitiveness,3.565269461
BI-focused Products,Cubeware,Competitiveness,3.267137147
BI-focused Products,cubus,Competitiveness,6.393483936
BI-focused Products,evidanza,Competitiveness,6.051421373
BI-focused Products,IBM Plan. Analytics,Competitiveness,6.926007487
BI-focused Products,IDL,Competitiveness,6.114608297
BI-focused Products,Infor d/EPM,Competitiveness,4.652549113
BI-focused Products,Jedox,Competitiveness,4.664871735
BI-focused Products,Longview Pl. (On-Pr.),Competitiveness,4.49681377
BI-focused Products,Prophix,Competitiveness,4.348592784
BI-focused Products,SAP Analytics Cloud,Competitiveness,4.372660537
BI-focused Products,Unit4 FP&A,Competitiveness,2.975279442
BI-focused Products,Peer Group Average,Competitiveness,4.819057923
Enterprise Software Vendors,IBM Plan. Analytics,Business benefits,6.59482165
Enterprise Software Vendors,Infor d/EPM,Business benefits,4.553530067
Enterprise Software Vendors,Oracle Hyp. Plan.,Business benefits,4.351604462
Enterprise Software Vendors,SAP Analytics Cloud,Business benefits,8.140152205
Enterprise Software Vendors,SAP BPC,Business benefits,1
Enterprise Software Vendors,Peer Group Average,Business benefits,4.928021677
Enterprise Software Vendors,IBM Plan. Analytics,Project success,3.838199891
Enterprise Software Vendors,Infor d/EPM,Project success,5.215002789
Enterprise Software Vendors,Oracle Hyp. Plan.,Project success,2.214723926
Enterprise Software Vendors,SAP Analytics Cloud,Project success,5.215317633
Enterprise Software Vendors,SAP BPC,Project success,1
Enterprise Software Vendors,Peer Group Average,Project success,3.496648848
Enterprise Software Vendors,IBM Plan. Analytics,Project length,4.031578947
Enterprise Software Vendors,Infor d/EPM,Project length,5.042105263
Enterprise Software Vendors,Oracle Hyp. Plan.,Project length,1.977928693
Enterprise Software Vendors,SAP Analytics Cloud,Project length,4.031578947
Enterprise Software Vendors,SAP BPC,Project length,2.212631579
Enterprise Software Vendors,Peer Group Average,Project length,3.459164686
Enterprise Software Vendors,IBM Plan. Analytics,Business value,5.248740613
Enterprise Software Vendors,Infor d/EPM,Business value,4.855450174
Enterprise Software Vendors,Oracle Hyp. Plan.,Business value,3.243698322
Enterprise Software Vendors,SAP Analytics Cloud,Business value,6.480445138
Enterprise Software Vendors,SAP BPC,Business value,1.202105263
Enterprise Software Vendors,Peer Group Average,Business value,4.206087902
Enterprise Software Vendors,IBM Plan. Analytics,Price-to-value,4.198008041
Enterprise Software Vendors,Infor d/EPM,Price-to-value,5.567957536
Enterprise Software Vendors,Oracle Hyp. Plan.,Price-to-value,2.673568111
Enterprise Software Vendors,SAP Analytics Cloud,Price-to-value,5.958881579
Enterprise Software Vendors,SAP BPC,Price-to-value,1
Enterprise Software Vendors,Peer Group Average,Price-to-value,3.879683053
Enterprise Software Vendors,IBM Plan. Analytics,Recommendation,5.415399596
Enterprise Software Vendors,Infor d/EPM,Recommendation,3.662721893
Enterprise Software Vendors,Oracle Hyp. Plan.,Recommendation,3.81487743
Enterprise Software Vendors,SAP Analytics Cloud,Recommendation,7.098492079
Enterprise Software Vendors,SAP BPC,Recommendation,1
Enterprise Software Vendors,Peer Group Average,Recommendation,4.1982982
Enterprise Software Vendors,IBM Plan. Analytics,Vendor support,2.205277623
Enterprise Software Vendors,Infor d/EPM,Vendor support,2.071751839
Enterprise Software Vendors,Oracle Hyp. Plan.,Vendor support,1
Enterprise Software Vendors,SAP Analytics Cloud,Vendor support,6.690679681
Enterprise Software Vendors,SAP BPC,Vendor support,2.202832996
Enterprise Software Vendors,Peer Group Average,Vendor support,2.834108428
Enterprise Software Vendors,IBM Plan. Analytics,Implementer support,4.87442623
Enterprise Software Vendors,Infor d/EPM,Implementer support,5.659076006
Enterprise Software Vendors,Oracle Hyp. Plan.,Implementer support,3.462056632
Enterprise Software Vendors,SAP Analytics Cloud,Implementer support,6.186360656
Enterprise Software Vendors,SAP BPC,Implementer support,1
Enterprise Software Vendors,Peer Group Average,Implementer support,4.236383905
Enterprise Software Vendors,IBM Plan. Analytics,Product satisfaction,6.064369932
Enterprise Software Vendors,Infor d/EPM,Product satisfaction,4.323543886
Enterprise Software Vendors,Oracle Hyp. Plan.,Product satisfaction,1
Enterprise Software Vendors,SAP Analytics Cloud,Product satisfaction,6.279527559
Enterprise Software Vendors,SAP BPC,Product satisfaction,1.784271134
Enterprise Software Vendors,Peer Group Average,Product satisfaction,3.890342502
Enterprise Software Vendors,IBM Plan. Analytics,Customer satisfaction,4.650399056
Enterprise Software Vendors,Infor d/EPM,Customer satisfaction,4.324325018
Enterprise Software Vendors,Oracle Hyp. Plan.,Customer satisfaction,2.598161534
Enterprise Software Vendors,SAP Analytics Cloud,Customer satisfaction,6.47606132
Enterprise Software Vendors,SAP BPC,Customer satisfaction,1.331184022
Enterprise Software Vendors,Peer Group Average,Customer satisfaction,3.87602619
Enterprise Software Vendors,IBM Plan. Analytics,Predefined data connectivity,5.103954082
Enterprise Software Vendors,Infor d/EPM,Predefined data connectivity,4.992028061
Enterprise Software Vendors,Oracle Hyp. Plan.,Predefined data connectivity,2.441455845
Enterprise Software Vendors,SAP Analytics Cloud,Predefined data connectivity,9.703752469
Enterprise Software Vendors,SAP BPC,Predefined data connectivity,8.942520358
Enterprise Software Vendors,Peer Group Average,Predefined data connectivity,6.236742163
Enterprise Software Vendors,IBM Plan. Analytics,Data integration,4.517523896
Enterprise Software Vendors,Infor d/EPM,Data integration,4.270853216
Enterprise Software Vendors,Oracle Hyp. Plan.,Data integration,1
Enterprise Software Vendors,SAP Analytics Cloud,Data integration,5.224852071
Enterprise Software Vendors,SAP BPC,Data integration,2.902468884
Enterprise Software Vendors,Peer Group Average,Data integration,3.583139613
Enterprise Software Vendors,IBM Plan. Analytics,Planning content,1.448463121
Enterprise Software Vendors,Infor d/EPM,Planning content,1
Enterprise Software Vendors,Oracle Hyp. Plan.,Planning content,2.155867912
Enterprise Software Vendors,SAP Analytics Cloud,Planning content,7.407528642
Enterprise Software Vendors,SAP BPC,Planning content,2.657488527
Enterprise Software Vendors,Peer Group Average,Planning content,2.93386964
Enterprise Software Vendors,IBM Plan. Analytics,Planning functionality,7.590925821
Enterprise Software Vendors,Infor d/EPM,Planning functionality,3.503969117
Enterprise Software Vendors,Oracle Hyp. Plan.,Planning functionality,3.7654881
Enterprise Software Vendors,SAP Analytics Cloud,Planning functionality,4.491574177
Enterprise Software Vendors,SAP BPC,Planning functionality,1
Enterprise Software Vendors,Peer Group Average,Planning functionality,4.070391443
Enterprise Software Vendors,IBM Plan. Analytics,Workflow,3.894156297
Enterprise Software Vendors,Infor d/EPM,Workflow,2.809648888
Enterprise Software Vendors,Oracle Hyp. Plan.,Workflow,1.598231037
Enterprise Software Vendors,SAP Analytics Cloud,Workflow,4.581184669
Enterprise Software Vendors,SAP BPC,Workflow,3.72195122
Enterprise Software Vendors,Peer Group Average,Workflow,3.321034422
Enterprise Software Vendors,IBM Plan. Analytics,Forecasting,6.463380282
Enterprise Software Vendors,Infor d/EPM,Forecasting,2.124488869
Enterprise Software Vendors,Oracle Hyp. Plan.,Forecasting,2.584507042
Enterprise Software Vendors,SAP Analytics Cloud,Forecasting,7.501942691
Enterprise Software Vendors,SAP BPC,Forecasting,1
Enterprise Software Vendors,Peer Group Average,Forecasting,3.934863777
